Date,RAD_Lot,Waterlevel,Temperature,Precip,Precip_d10_mean
8/20/2013,-2.310,210.73,15.4,0.0,2.7
8/21/2013,-2.204,210.73,15.9,0.0,1.7
8/22/2013,-2.180,210.71,17.8,0.6,1.5
8/23/2013,-2.235,210.67,19.6,0.0,1.0
8/24/2013,-2.265,210.65,19.5,8.3,1.9
8/25/2013,-2.325,210.63,17.6,0.0,1.9
8/26/2013,-2.254,210.63,16.5,0.0,1.8
8/27/2013,-2.171,210.61,16.9,0.0,1.8
8/28/2013,-2.172,210.6,17.4,0.0,0.9
8/29/2013,-2.165,210.58,17.7,0.0,0.9
8/30/2013,-2.148,210.57,18.1,0.0,0.9
8/31/2013,-2.120,210.56,16.4,0.7,1.0
9/1/2013,-2.002,210.53,13.6,0.0,0.9
9/2/2013,-1.958,210.51,15.6,0.0,0.9
9/3/2013,-1.990,210.48,16.8,0.4,0.1
9/4/2013,-1.993,210.46,19.5,0.0,0.1
9/5/2013,-2.138,210.44,22.9,0.0,0.1
9/6/2013,-2.329,210.43,24.0,0.0,0.1
9/7/2013,-2.369,210.41,18.0,8.0,0.9
9/8/2013,-2.214,210.41,13.9,3.6,1.3
9/9/2013,-2.028,210.4,13.0,1.7,1.4
9/10/2013,-1.874,210.38,11.3,35.0,4.9
9/11/2013,-1.675,210.35,11.8,5.4,5.4
9/12/2013,-1.613,210.41,12.9,0.2,5.4
9/13/2013,-1.654,210.46,14.8,0.2,5.4
9/14/2013,-1.691,210.47,14.9,2.6,5.7
9/15/2013,-1.641,210.44,13.4,4.8,6.2
9/16/2013,-1.556,210.46,10.7,2.1,6.4
9/17/2013,-1.438,210.43,9.9,2.6,5.8
9/18/2013,-1.424,210.37,11.1,2.4,5.7
9/19/2013,-1.375,210.32,11.1,1.0,5.6
9/20/2013,-1.383,210.28,12.4,3.2,2.5
9/21/2013,-1.397,210.24,13.0,0.0,1.9
9/22/2013,-1.462,210.23,14.3,0.0,1.9
9/23/2013,-1.535,210.21,14.8,0.0,1.9
9/24/2013,-1.618,210.14,15.1,0.0,1.6
9/25/2013,-1.653,210.07,15.4,0.0,1.1
9/26/2013,-1.683,209.99,12.7,0.0,0.9
9/27/2013,-1.517,209.91,10.0,0.0,0.7
9/28/2013,-1.361,209.83,9.9,0.0,0.4
9/29/2013,-1.282,209.77,11.4,0.0,0.3
9/30/2013,-1.214,209.71,10.6,0.0,0.0
10/1/2013,-1.162,209.63,9.8,0.0,0.0
10/2/2013,-1.066,209.55,9.4,0.0,0.0
10/3/2013,-1.064,209.46,12.8,0.3,0.0
10/4/2013,-1.219,209.37,14.1,1.4,0.2
10/5/2013,-1.354,209.28,14.3,6.9,0.9
10/6/2013,-1.393,209.2,12.1,0.2,0.9
10/7/2013,-1.412,209.13,13.0,0.0,0.9
10/8/2013,-1.472,209.04,13.5,0.0,0.9
10/9/2013,-1.522,208.97,13.3,12.5,2.1
10/10/2013,-1.412,208.9,7.4,0.1,2.1
10/11/2013,-1.252,208.86,6.0,13.1,3.5
10/12/2013,-1.121,208.82,6.0,4.3,3.9
10/13/2013,-1.015,208.79,8.1,0.0,3.9
10/14/2013,-1.003,208.76,10.7,3.0,4.0
10/15/2013,-1.049,208.76,9.8,0.6,3.4
10/16/2013,-1.024,208.73,9.1,0.1,3.4
10/17/2013,-1.085,208.71,11.9,0.4,3.4
10/18/2013,-1.055,208.66,10.1,0.0,3.4
10/19/2013,-1.077,208.63,14.4,0.0,2.2
10/20/2013,-1.276,208.61,15.6,1.0,2.3
10/21/2013,-1.335,208.61,14.7,0.0,0.9
10/22/2013,-1.440,208.59,17.0,4.1,0.9
10/23/2013,-1.530,208.61,15.9,0.2,0.9
10/24/2013,-1.477,208.55,12.7,0.0,0.6
10/25/2013,-1.434,208.51,14.4,4.8,1.1
10/26/2013,-1.557,208.48,16.6,1.9,1.2
10/27/2013,-1.567,208.46,14.0,5.0,1.7
10/28/2013,-1.497,208.44,13.5,2.9,2.0
10/29/2013,-1.399,208.47,10.5,0.2,2.0
10/30/2013,-1.249,208.48,8.2,0.0,1.9
10/31/2013,-1.086,208.45,8.2,0.0,1.9
11/1/2013,-1.092,208.43,9.6,9.2,2.4
11/2/2013,-1.097,208.46,10.6,6.1,3.0
11/3/2013,-1.069,208.42,8.8,1.3,3.1
11/4/2013,-0.990,208.45,8.9,9.9,3.7
11/5/2013,-0.881,208.42,6.5,8.6,4.3
11/6/2013,-0.799,208.52,8.6,4.7,4.3
11/7/2013,-0.867,208.61,12.4,20.7,6.1
11/8/2013,-0.714,208.81,10.6,2.8,6.3
11/9/2013,-0.579,209.05,8.5,2.3,6.6
11/10/2013,-0.391,209.2,5.2,3.6,6.9
11/11/2013,-0.166,209.31,4.7,0.0,6.0
11/12/2013,-0.075,209.41,6.8,1.6,5.6
11/13/2013,-0.026,209.46,5.6,0.0,5.4
11/14/2013,0.128,209.51,4.0,0.0,4.4
11/15/2013,0.170,209.55,5.0,0.0,3.6
11/16/2013,0.337,209.59,1.8,0.0,3.1
11/17/2013,0.394,209.61,4.6,0.0,1.0
11/18/2013,0.426,209.61,4.7,0.0,0.8
11/19/2013,0.477,209.67,4.8,3.3,0.9
11/20/2013,0.525,209.71,3.6,0.0,0.5
11/21/2013,0.625,209.71,2.2,1.0,0.6
11/22/2013,0.726,209.71,2.3,3.1,0.7
11/23/2013,0.743,209.72,5.0,0.1,0.8
11/24/2013,0.784,209.74,3.2,1.7,0.9
11/25/2013,0.905,209.76,0.9,0.5,1.0
11/26/2013,1.056,209.77,-0.9,0.0,1.0
11/27/2013,1.127,209.79,2.5,1.8,1.2
11/28/2013,1.086,209.79,5.8,0.4,1.2
11/29/2013,1.051,209.8,5.2,2.7,1.1
11/30/2013,1.083,209.84,4.3,1.7,1.3
12/1/2013,0.905,209.84,5.3,0.5,1.3
12/2/2013,1.056,209.86,4.4,0.0,0.9
12/3/2013,1.127,209.9,1.2,0.0,0.9
12/4/2013,1.086,209.9,2.8,1.3,0.9
12/5/2013,1.051,209.91,2.8,11.2,2.0
12/6/2013,1.083,209.99,1.1,3.7,2.3
12/7/2013,1.083,210.06,2.8,2.0,2.4
12/8/2013,1.073,210.11,6.6,0.4,2.4
12/9/2013,1.240,210.18,7.5,0.0,2.1
12/10/2013,1.188,210.22,6.4,0.0,1.9
12/11/2013,1.170,210.26,4.0,0.0,1.9
12/12/2013,1.278,210.31,3.0,0.0,1.9
12/13/2013,1.338,210.39,1.4,0.0,1.9
12/14/2013,1.259,210.42,2.9,1.6,1.9
12/15/2013,1.176,210.48,6.0,1.0,0.9
12/16/2013,1.170,210.53,9.0,0.0,0.5
12/17/2013,1.334,210.54,8.2,0.0,0.3
12/18/2013,1.475,210.55,7.5,0.4,0.3
12/19/2013,1.606,210.61,7.3,0.5,0.4
12/20/2013,1.678,210.62,4.7,0.1,0.4
12/21/2013,1.624,210.62,5.3,0.8,0.4
12/22/2013,1.568,210.67,7.1,12.9,1.7
12/23/2013,1.503,210.71,7.6,0.0,1.7
12/24/2013,1.491,210.76,10.8,6.5,2.2
12/25/2013,1.447,210.79,7.7,0.0,2.1
12/26/2013,1.562,210.82,4.5,0.0,2.1
12/27/2013,1.631,210.87,6.8,0.3,2.2
12/28/2013,1.574,210.89,7.4,9.5,3.1
12/29/2013,1.554,210.96,4.7,0.3,3.0
12/30/2013,1.430,211.01,3.7,0.0,3.0
12/31/2013,1.367,211.07,5.8,0.0,3.0
1/1/2014,1.513,211.09,6.2,0.0,1.7
1/2/2014,1.572,211.14,8.1,0.2,1.7
1/3/2014,1.474,211.17,8.1,5.4,1.6
1/4/2014,1.567,211.23,7.0,3.2,1.9
1/5/2014,1.752,211.27,6.0,0.0,1.9
1/6/2014,1.809,211.34,8.4,4.3,2.3
1/7/2014,1.831,211.36,9.9,2.8,1.6
1/8/2014,1.758,211.43,9.1,1.4,1.7
1/9/2014,1.753,211.44,9.0,3.7,2.1
1/10/2014,1.791,211.51,5.5,0.0,2.1
1/11/2014,1.825,211.58,4.3,2.6,2.4
1/12/2014,1.837,211.61,2.5,0.0,2.3
1/13/2014,1.725,211.69,5.7,0.0,1.8
1/14/2014,1.675,211.69,5.0,0.1,1.5
1/15/2014,1.664,211.72,4.1,0.6,1.6
1/16/2014,1.778,211.75,6.6,0.5,1.2
1/17/2014,1.941,211.77,7.4,0.0,0.9
1/18/2014,2.104,211.85,7.0,0.0,0.8
1/19/2014,2.184,211.92,4.4,0.0,0.4
1/20/2014,2.209,211.94,1.5,0.2,0.4
1/21/2014,2.260,211.94,1.6,1.8,0.3
1/22/2014,2.241,211.97,3.1,0.0,0.3
1/23/2014,2.248,211.99,2.0,2.3,0.6
1/24/2014,2.258,212.02,2.0,0.3,0.6
1/25/2014,2.349,212.04,2.1,7.8,1.3
1/26/2014,2.445,212.08,3.2,11.1,2.4
1/27/2014,2.576,212.14,3.3,0.0,2.4
1/28/2014,2.566,212.19,3.5,0.0,2.4
1/29/2014,2.694,212.25,0.0,0.0,2.4
1/30/2014,2.717,212.29,1.0,0.0,2.3
1/31/2014,2.765,212.29,2.4,0.0,2.2
2/1/2014,2.843,212.31,5.3,0.7,2.2
2/2/2014,2.846,212.32,5.3,0.0,2.0
2/3/2014,2.938,212.34,2.5,0.0,2.0
2/4/2014,3.080,212.33,5.0,0.0,1.2
2/5/2014,3.184,212.36,5.9,0.0,0.1
2/6/2014,3.262,212.36,7.2,2.1,0.3
2/7/2014,3.208,212.37,7.9,1.7,0.5
2/8/2014,3.184,212.37,5.9,0.1,0.5
2/9/2014,3.281,212.35,5.6,0.0,0.5
2/10/2014,3.264,212.34,4.4,1.4,0.6
2/11/2014,3.247,212.36,4.9,1.1,0.6
2/12/2014,3.170,212.36,5.0,0.0,0.6
2/13/2014,3.018,212.38,4.5,4.4,1.1
2/14/2014,3.049,212.39,4.7,0.4,1.1
2/15/2014,3.063,212.42,9.9,7.2,1.8
2/16/2014,3.109,212.44,5.9,0.5,1.7
2/17/2014,2.931,212.46,5.3,0.0,1.5
2/18/2014,3.133,212.49,5.6,1.1,1.6
2/19/2014,3.149,212.49,6.9,0.2,1.6
2/20/2014,3.196,212.49,7.8,1.5,1.6
2/21/2014,3.047,212.52,6.3,1.4,1.7
2/22/2014,3.034,212.54,4.6,0.0,1.7
2/23/2014,3.103,212.54,5.5,0.0,1.2
2/24/2014,3.147,212.54,8.6,0.0,1.2
2/25/2014,3.074,212.58,9.0,0.1,0.5
2/26/2014,3.008,212.58,7.4,0.9,0.5
2/27/2014,2.950,212.51,5.0,0.9,0.6
2/28/2014,3.088,212.53,5.2,0.5,0.6
3/1/2014,3.173,212.55,5.4,0.0,0.5
3/2/2014,3.196,212.58,4.9,0.0,0.4
3/3/2014,3.098,212.6,5.6,0.0,0.2
3/4/2014,3.001,212.59,5.1,0.0,0.2
3/5/2014,3.068,212.61,3.5,0.1,0.3
3/6/2014,3.080,212.63,5.5,0.0,0.3
3/7/2014,3.080,212.63,8.3,0.0,0.2
3/8/2014,3.124,212.59,11.0,0.0,0.2
3/9/2014,3.140,212.61,14.8,0.0,0.1
3/10/2014,3.202,212.61,10.2,0.0,0.0
3/11/2014,3.245,212.59,6.2,0.0,0.0
3/12/2014,3.314,212.56,7.6,0.0,0.0
3/13/2014,3.301,212.52,8.2,0.0,0.0
3/14/2014,3.184,212.49,8.2,0.5,0.1
3/15/2014,3.036,212.46,8.2,1.5,0.2
3/16/2014,3.024,212.49,8.7,0.0,0.2
3/17/2014,3.048,212.46,9.6,0.0,0.2
3/18/2014,3.084,212.42,8.1,4.7,0.7
3/19/2014,3.072,212.39,10.8,0.0,0.7
3/20/2014,3.066,212.34,14.0,0.0,0.7
3/21/2014,2.906,212.34,10.7,1.7,0.8
3/22/2014,2.793,212.31,6.9,6.0,1.4
3/23/2014,2.684,212.29,5.0,0.1,1.5
3/24/2014,2.670,212.29,3.3,0.0,1.4
3/25/2014,2.556,212.26,3.7,0.0,1.3
3/26/2014,2.448,212.21,3.9,1.1,1.4
3/27/2014,2.272,212.19,7.5,0.0,1.4
3/28/2014,2.411,212.18,9.7,0.0,0.9
3/29/2014,2.566,212.13,12.5,0.0,0.9
3/30/2014,2.683,212.11,11.4,0.0,0.9
3/31/2014,2.788,212.09,11.4,0.0,0.7
4/1/2014,2.870,212.04,14.1,0.0,0.1
4/2/2014,2.866,212,14.1,0.0,0.1
4/3/2014,2.774,211.96,15.0,0.0,0.1
4/4/2014,2.656,211.91,13.5,0.1,0.1
4/5/2014,2.567,211.87,11.3,1.8,0.2
4/6/2014,2.421,211.87,13.0,0.1,0.2
4/7/2014,2.232,211.87,16.7,0.4,0.2
4/8/2014,2.118,211.79,9.5,4.0,0.6
4/9/2014,1.954,211.77,8.9,0.0,0.6
4/10/2014,1.753,211.74,11.1,0.0,0.6
4/11/2014,1.725,211.72,9.8,0.3,0.7
4/12/2014,1.758,211.67,9.8,0.0,0.7
4/13/2014,1.452,211.65,9.9,0.0,0.7
4/14/2014,1.438,211.64,7.4,1.7,0.8
4/15/2014,1.691,211.58,5.4,0.0,0.7
4/16/2014,1.582,211.57,7.2,0.0,0.6
4/17/2014,1.528,211.52,11.9,3.0,0.9
4/18/2014,1.639,211.48,7.8,0.6,0.6
4/19/2014,1.569,211.48,10.1,0.0,0.6
4/20/2014,1.603,211.42,14.4,0.0,0.6
4/21/2014,1.741,211.39,10.6,22.0,2.7
4/22/2014,1.838,211.36,11.7,0.2,2.8
4/23/2014,1.737,211.31,13.1,2.5,3.0
4/24/2014,1.633,211.25,13.7,0.1,2.8
4/25/2014,1.633,211.22,16.1,0.0,2.8
4/26/2014,1.469,211.16,13.8,12.7,4.1
4/27/2014,1.384,211.16,11.8,11.3,4.9
4/28/2014,1.320,211.22,12.0,0.0,4.9
4/29/2014,1.278,211.28,13.8,2.6,5.1
4/30/2014,1.176,211.37,14.0,5.0,5.6
5/1/2014,1.044,211.39,13.6,0.0,3.4
5/2/2014,0.850,211.49,8.8,0.0,3.4
5/3/2014,0.864,211.52,8.3,0.0,3.2
5/4/2014,0.938,211.57,7.9,0.0,3.2
5/5/2014,0.877,211.62,11.1,0.0,3.2
5/6/2014,0.779,211.62,14.5,10.4,2.9
5/7/2014,0.690,211.65,12.4,1.7,2.0
5/8/2014,0.779,211.62,11.3,7.5,2.7
5/9/2014,1.072,211.69,12.5,11.8,3.6
5/10/2014,1.097,211.74,10.9,5.4,3.7
5/11/2014,0.988,211.84,10.7,1.9,3.9
5/12/2014,0.737,211.94,9.8,4.2,4.3
5/13/2014,0.660,211.98,9.7,3.2,4.6
5/14/2014,0.735,212.03,8.4,1.0,4.7
5/15/2014,0.705,212.12,8.4,0.2,4.7
5/16/2014,0.839,212.12,11.3,0.0,3.7
5/17/2014,0.879,212.18,12.2,0.0,3.5
5/18/2014,0.945,212.23,15.0,0.0,2.8
5/19/2014,0.975,212.24,17.7,0.0,1.6
5/20/2014,1.032,212.27,21.2,0.0,1.1
5/21/2014,1.134,212.31,21.6,0.0,0.9
5/22/2014,1.030,212.32,21.1,3.1,0.8
5/23/2014,0.755,212.36,15.1,9.6,1.4
5/24/2014,0.560,212.32,15.9,0.0,1.3
